HouseSize,NumBedrooms,NumBathrooms,GarageSpaces,Age,LocationScore,Price
2938,2,3,2,6,10.0,639858
1078,5,2,2,22,9.5,690975
2812,5,1,1,4,5.4,573866
2607,4,1,1,27,8.0,177418
2719,2,2,1,20,6.5,606854
3283,4,2,2,21,9.7,469262
3092,4,2,2,6,6.8,352409
3045,4,2,2,17,8.5,434361
2623,5,2,1,26,6.5,442075
2995,4,2,1,22,7.5,432712
2613,2,1,2,4,8.7,233066
1510,3,2,1,9,9.9,354193
2631,2,2,1,13,9.7,688268
1110,3,2,1,29,8.5,445009
1540,5,1,2,6,5.3,450266
2729,2,1,2,3,5.6,179332
3097,5,3,2,19,9.6,564597
1945,5,2,2,21,7.1,559700
3391,4,2,1,25,8.0,479618
2498,4,1,1,15,9.3,687310
2776,2,1,2,18,9.3,415609
2218,3,1,1,27,6.9,411460
3991,4,3,1,21,7.9,437289
3321,5,3,2,5,8.4,288171
3726,4,1,1,15,7.2,496579
2344,4,3,2,9,7.8,462381
1236,4,2,1,9,7.7,291403
1662,2,3,2,20,8.9,520099
3127,5,3,1,16,9.0,606880
3122,4,3,2,20,9.7,362752
2186,2,3,2,19,9.7,483023
3726,3,1,2,23,9.7,286226
2685,5,1,2,19,5.1,368697
1373,3,2,1,26,6.0,608428
3474,5,3,2,6,7.5,600896
2407,2,1,2,15,5.4,553446
1611,2,3,1,25,10.0,321954
2833,5,1,1,29,9.3,577712
3809,2,1,2,6,5.2,157102
3919,3,3,1,19,9.4,636868
2787,2,1,1,10,6.6,242239
3352,5,2,2,28,9.8,349232
2407,5,2,2,27,6.7,466043
2674,4,2,2,16,6.1,278187
2348,4,2,1,4,6.4,257461
2297,4,2,2,14,7.9,547880
3819,5,3,2,11,7.8,163384
2630,2,2,2,12,7.7,506391
1471,2,3,2,4,5.3,555840
3333,3,3,1,15,8.6,212932
1614,5,1,1,19,6.6,694024
2659,2,2,2,1,7.7,442948
2227,2,1,2,10,8.3,659946
1450,4,3,2,19,9.2,444106
3695,4,1,1,14,6.5,608684
3739,2,2,1,2,7.4,576699
3292,4,1,2,5,8.2,669837
3633,5,3,2,26,8.1,207078
2984,4,3,1,28,9.1,456615
3032,5,3,2,22,6.4,237488
1401,5,1,1,22,5.3,543251
2704,2,2,2,29,6.3,528313
1243,3,1,1,5,9.6,376623
3581,4,3,2,20,7.6,483560
2630,3,1,2,14,5.7,481986
2946,5,2,2,25,9.7,603056
3800,4,3,1,18,5.1,177757
2809,4,2,1,16,7.0,321041
3314,4,2,1,21,6.7,668454
2681,4,1,2,1,9.2,607743
3179,3,3,2,1,6.7,680348
1797,2,2,2,9,8.0,310905
3503,5,3,1,3,7.3,597081
1464,4,3,2,6,6.4,480246
3274,4,1,1,5,10.0,673158
1445,4,1,2,10,7.1,351909
2882,4,1,2,15,6.8,168742
2124,5,3,1,5,8.1,511920
3182,2,3,1,3,6.6,567153
1032,3,3,1,17,7.5,433794
2655,3,1,2,5,7.3,211552
3422,3,3,2,24,8.4,160055
2781,2,1,1,6,7.3,450019
3341,3,3,2,26,6.3,160243
3679,3,2,2,25,9.6,542924
2307,5,1,2,18,6.3,322369
2075,2,2,1,2,8.7,567229
2614,2,1,2,23,5.5,424812
2622,2,2,1,24,7.4,541589
2631,4,1,1,13,7.9,600378
3056,3,3,2,9,7.2,270631
3845,5,1,2,26,9.3,186875
3716,3,1,2,5,8.5,368559
3015,2,3,1,23,9.4,361897
2442,4,2,2,11,8.9,164522
1186,2,1,1,18,5.9,287287
2919,4,2,1,29,9.1,579846
2500,2,1,2,7,6.9,403347
3159,5,1,1,15,5.3,508004
2595,4,2,1,16,5.7,631095
1247,2,2,2,20,10.0,269874
2004,5,2,2,29,5.8,355063
2031,3,2,1,22,6.6,374021
3956,2,3,2,14,6.0,293356
2312,4,1,1,3,8.2,687851
1747,5,2,2,22,6.2,440070
1075,4,2,1,7,6.3,633350
2064,2,3,1,11,9.9,398996
2024,5,3,1,1,6.6,331632
1212,3,3,2,25,9.4,258914
2133,3,1,2,8,9.6,155845
3652,3,2,2,3,5.1,315156
2189,3,2,2,27,9.5,347384
3479,5,3,1,17,8.2,470834
1573,4,1,1,6,5.5,513076
1103,4,3,1,3,8.8,365294
2970,3,2,1,14,6.4,425769
1580,3,1,2,21,5.0,491573
1494,2,1,1,4,8.9,166492
1887,3,2,1,6,8.2,349502
2156,2,3,1,2,5.4,340644
3665,5,3,1,16,5.2,222984
3596,3,2,2,6,8.2,358463
1336,5,1,2,27,5.6,684647
3514,4,1,1,14,8.7,221988
1165,3,1,1,29,9.7,356827
1734,2,1,1,6,9.9,249989
1373,4,1,2,19,9.8,495430
2518,5,1,1,16,6.3,671737
2968,4,2,2,2,5.9,467428
2664,5,3,2,24,5.2,639173
2585,3,1,1,21,8.9,638510
1265,2,3,2,3,6.0,518212
3098,5,3,1,11,7.4,337529
3785,5,3,2,2,8.3,315337
2200,2,2,1,19,6.8,187098
1524,2,1,2,16,5.1,385017
3547,4,1,2,21,8.9,390112
2956,4,3,1,25,7.0,402045
2123,3,1,2,16,8.2,353504
1358,5,1,2,1,7.0,344758
2060,2,3,2,20,8.8,593043
2650,2,3,2,5,7.8,217289
1428,4,3,2,9,5.6,216130
1035,5,1,1,3,8.4,505721
1782,4,1,2,28,9.3,564555
3077,2,1,2,2,5.4,365863
1060,5,2,2,29,5.1,412916
2016,3,3,2,4,10.0,295153
3883,3,2,2,29,6.0,466771
2821,3,1,1,13,5.8,403831
1155,4,1,1,8,5.6,619815
2057,3,2,2,17,5.6,452718
1435,4,2,2,8,7.1,177398
2435,2,2,1,22,9.4,281664
1056,2,1,2,11,5.5,572875
3325,2,3,1,18,5.8,655899
1679,2,2,2,6,5.6,150494
3589,4,2,1,2,8.9,386433
3289,2,1,2,11,8.1,251178
3973,2,2,2,16,8.7,651040
1957,5,2,2,19,9.8,658838
2594,3,2,1,27,8.9,560605
2816,4,1,2,3,6.9,570397
1114,2,1,2,21,9.5,234474
3496,4,1,1,19,5.5,531988
3018,4,1,2,22,7.2,203591
3683,4,2,2,21,8.2,302313
3061,5,2,2,24,6.7,422170
1769,4,3,2,27,7.6,331471
1258,3,2,1,6,9.7,359105
2858,5,2,2,25,8.1,265595
3195,5,1,2,18,8.2,617242
3548,2,3,1,29,6.2,626769
2484,2,2,2,21,6.5,635864
2575,4,1,1,17,9.9,204779
2613,3,1,1,13,8.2,447901
3993,3,1,2,12,8.8,673888
2306,3,2,2,12,6.8,351818
1371,4,3,2,19,9.4,552805
2164,5,2,1,7,7.5,277014
1960,4,1,1,3,8.3,293971
3305,2,2,1,20,8.7,158799
3336,5,3,2,10,8.5,501414
2534,3,3,2,1,7.7,683779
3746,2,3,1,13,9.8,479499
3754,2,3,1,12,9.7,514933
3780,3,2,2,19,9.4,523175
2089,5,1,1,4,6.7,574664
2229,5,2,2,12,7.4,200963
3387,4,2,2,15,6.0,520981
3607,4,3,1,21,5.2,489277
3641,3,1,1,5,9.8,672462
1420,2,2,1,12,7.8,599391
2333,3,3,1,5,9.1,507003
2734,2,3,1,24,8.8,421394
1649,3,2,1,26,9.7,687612
3834,3,2,1,26,6.9,469027
2181,3,1,2,14,9.4,461975
1693,3,1,1,27,8.1,272400
1554,4,2,1,2,5.2,586998
3514,3,1,1,7,7.1,394420
3690,2,3,2,22,9.5,500360
3845,2,2,2,21,7.0,301259
3449,2,3,2,4,9.8,462402
3083,3,2,1,9,8.5,159182
3936,4,1,1,25,7.3,237198
1355,5,1,2,12,5.5,491503
3925,5,3,2,5,8.6,410683
2720,2,1,1,19,6.3,445865
2730,4,3,1,3,5.8,539249
3836,5,2,1,12,10.0,426178
1081,2,1,2,16,7.6,386290
3988,4,1,2,15,7.9,573216
3086,2,1,2,10,7.7,510494
1549,4,3,2,9,8.4,543714
1362,3,1,1,4,9.9,564123
1552,4,2,1,21,8.8,359341
2903,2,1,2,26,7.5,601401
2668,2,2,2,22,7.7,155543
2459,3,3,2,1,5.7,316439
3454,2,1,1,10,9.6,633871
3725,5,1,1,19,8.7,414189
3851,5,3,1,5,8.5,348163
1542,5,1,1,7,5.1,581416
2799,4,2,2,11,9.8,449198
2624,3,2,2,11,9.4,672260
1239,5,1,1,1,9.5,449079
2935,5,3,2,19,9.3,285745
3442,2,1,1,8,9.7,559848
3893,2,2,2,4,6.5,477291
3023,5,3,1,22,6.4,672682
2848,4,1,2,29,5.5,558236
3021,4,3,2,20,6.5,547533
2938,4,1,1,14,8.7,561468
1060,4,3,2,22,9.2,310760
1024,5,3,1,21,6.5,320167
1160,2,2,2,9,8.0,697234
3932,5,1,1,29,9.3,637618
2406,4,2,2,11,9.6,361744
1367,3,3,1,27,7.4,394982
1116,3,3,2,11,6.0,371124
3020,5,1,1,8,9.9,458078
3026,5,1,1,3,9.5,393956
1016,2,3,1,1,7.5,336803
1948,4,1,2,13,7.0,632835
3266,5,1,1,27,6.6,679729
3256,2,1,1,13,7.3,421408
1814,2,2,1,11,7.9,645498
3654,5,2,2,17,5.1,414844
2876,3,1,2,7,5.8,413614
1172,4,3,1,26,5.5,337462
3643,5,1,2,28,7.6,418130
2143,2,3,2,2,9.5,246680
2591,5,3,1,17,6.2,194405
2378,3,2,1,6,9.4,366988
3349,3,3,1,29,7.9,446975
2361,2,3,2,19,6.0,615555
1432,4,3,2,29,7.2,581401
3007,5,2,1,3,9.4,677857
3910,5,3,1,14,9.3,550869
2413,4,1,1,19,9.1,668303
1377,2,2,1,4,7.7,151055
1231,3,1,1,13,5.3,474990
1737,4,2,2,22,9.7,500675
1881,2,2,1,10,7.0,658435
1994,4,3,1,29,5.5,361032
2820,2,2,2,24,9.6,323358
3116,4,1,2,2,9.8,456317
3773,5,3,2,9,7.5,186650
3504,3,1,1,8,8.0,275030
2788,2,3,1,10,5.1,467896
1370,2,1,2,20,8.2,429501
3977,2,3,2,17,9.3,165025
2398,5,2,1,20,6.5,494807
2584,2,2,1,28,7.9,225948
2123,5,2,1,26,9.2,400232
2605,5,2,1,15,9.3,563098
2985,5,2,2,5,5.8,678532
2635,4,3,1,18,6.0,419596
3119,2,1,1,12,7.5,386955
3561,3,1,1,15,7.6,169962
1129,5,2,1,7,5.9,417706
1199,4,2,2,10,6.2,634771
2124,4,2,1,15,6.4,181489
3637,5,1,1,21,9.0,445553
2435,2,2,2,23,7.9,580900
1096,5,1,1,28,6.9,223406
2579,3,3,1,26,6.2,516529
3402,3,1,2,5,9.5,158890
2325,4,2,1,26,8.2,296524
1100,5,3,1,18,9.0,395057
1336,2,1,2,20,5.2,199606
1112,5,2,2,16,9.7,161083
1889,4,2,1,12,5.0,305719
3987,5,1,2,14,9.6,521724
3568,2,1,1,17,8.7,620106
3259,5,2,1,1,6.0,459952
3990,3,3,2,24,7.6,256456
3624,5,3,1,2,5.9,568086
1372,2,2,1,9,7.1,611080
2506,2,3,2,24,6.1,238494
1875,2,2,1,19,9.8,341049
3437,5,3,1,14,9.3,332961
1341,5,1,2,14,5.8,342859
3328,4,3,1,2,6.4,495116
2026,4,2,1,5,8.8,542855
3557,4,2,1,18,8.9,476164
2132,5,1,1,5,8.2,546541
3251,4,1,2,26,8.5,347165
1243,4,1,1,21,7.0,288940
1374,3,1,2,25,8.9,393315
1863,5,3,1,7,9.9,330502
1065,3,1,1,8,7.9,606211
3512,2,1,2,9,6.5,518434
3418,3,1,1,4,8.6,459238
1210,5,1,2,14,6.5,690671
2135,5,2,2,22,9.5,458176
2903,4,3,2,7,5.3,170141
3245,2,1,1,24,6.2,279218
1801,3,2,2,27,5.6,620929
2154,5,3,1,9,7.2,545028
1539,5,3,1,20,7.3,437144
3792,2,1,2,1,8.0,465334
1375,4,1,2,22,5.5,395008
1839,4,3,2,5,8.4,664709
3028,3,2,2,2,7.8,321341
3845,4,1,1,24,5.5,367602
2443,2,1,1,18,5.1,508289
3785,2,3,2,8,7.3,618809
3352,5,1,2,21,6.0,429332
1945,2,2,2,17,7.3,520957
1848,3,1,1,9,6.4,357889
1184,5,3,2,26,5.8,479661
1319,2,1,1,24,7.1,691364
2466,5,3,1,16,6.9,490930
1901,2,1,1,4,5.8,203681
2843,4,1,1,26,6.7,166274
2274,3,2,1,5,6.7,535242
1573,3,3,2,15,6.7,462396
3515,3,3,1,5,9.0,625711
3093,3,1,2,20,8.0,517220
1992,4,1,2,1,6.0,167926
2598,5,1,1,4,7.9,372983
2249,3,3,2,8,8.0,620904
3821,3,1,2,22,5.1,506742
2356,2,1,1,8,7.3,686209
2597,5,2,2,23,8.4,498612
3218,3,3,2,25,9.1,494773
1759,3,1,2,28,6.9,170172
1400,5,3,2,27,9.2,358339
1273,5,1,2,19,9.6,221914
2340,4,3,1,2,5.8,688821
2689,3,3,1,10,5.8,606053
2166,5,1,2,12,8.8,348590
1877,5,3,2,19,6.0,526141
1181,3,3,2,7,8.5,179183
1081,5,2,2,5,8.5,491178
3246,4,3,1,24,6.2,408303
1028,4,2,2,24,5.3,284286
3532,3,1,1,29,8.7,544205
1484,5,1,1,7,6.2,313200
3388,4,1,2,19,9.2,429581
1498,3,3,1,3,5.2,190869
1178,5,3,2,23,8.0,481953
3229,5,3,1,3,9.2,615016
2802,2,1,1,5,5.9,199781
2438,4,2,2,20,5.1,457252
2851,5,2,1,10,6.6,614994
2166,5,2,1,29,9.9,187624
3035,4,1,2,5,8.1,242544
2456,4,2,2,1,6.1,315968
1632,3,2,2,29,9.9,648713
2405,2,2,1,11,7.4,201553
2080,2,1,1,10,6.0,506814
1449,3,3,2,14,9.3,382242
2896,5,2,1,20,8.3,546735
3191,5,2,1,16,6.2,316084
1631,4,3,2,10,8.9,333306
3356,2,3,1,15,8.0,326050
3336,5,1,2,16,5.1,349484
2998,2,3,1,8,9.4,599737
3978,5,1,1,29,7.9,483302
2565,3,2,2,9,6.9,162742
3099,4,2,2,26,7.2,607927
1437,4,1,2,6,9.5,430900
3820,2,1,2,8,8.1,628694
2216,5,2,1,5,9.0,460230
3202,4,3,1,5,9.9,212656
2492,5,2,1,13,9.8,578798
3437,5,1,1,17,7.5,557079
3426,3,2,1,23,6.6,669507
3904,5,3,1,13,6.9,258721
3321,3,3,2,2,6.1,435995
2988,5,1,2,9,9.1,460190
3360,2,3,2,18,7.3,375838
3208,3,2,1,28,7.5,571450
2265,2,1,1,11,5.6,415920
1337,5,3,2,28,9.6,425187
2608,4,1,2,27,6.0,324160
1073,2,3,1,28,6.9,159550
1740,3,1,2,1,6.8,461253
2439,5,3,1,24,9.4,161818
3398,2,1,2,19,5.8,551570
1364,4,1,1,9,9.1,268678
1739,3,3,2,6,7.6,363576
2440,4,1,1,16,6.5,243705
2294,5,3,1,15,8.5,339703
1573,2,1,1,19,5.9,632615
1416,2,3,1,18,9.9,512334
3360,3,1,1,1,5.0,208386
1412,4,3,1,4,6.5,647164
1171,5,3,2,14,6.4,693976
2121,4,2,1,26,7.0,225164
1178,2,2,2,12,5.7,571865
3862,3,1,1,8,9.4,217442
3156,4,1,2,2,6.9,417914
2864,2,2,1,6,8.3,237026
3469,2,3,1,19,6.9,653289
3680,2,1,1,19,9.2,273100
3050,4,3,1,17,8.3,425814
1785,4,3,2,5,5.7,523658
1143,2,1,2,7,5.5,677924
1707,2,1,2,28,8.7,409754
2365,5,3,1,28,8.2,408970
2520,4,3,1,1,6.2,573987
1754,3,1,2,28,7.2,336058
2893,3,1,1,28,6.9,202380
3710,4,3,1,7,6.4,390742
2234,4,3,1,15,9.5,272460
1823,2,3,1,27,6.9,564030
3225,3,1,2,20,8.8,336887
2050,5,3,2,5,9.0,497953
1760,5,1,2,16,9.6,431985
1644,2,2,1,25,5.2,650621
1089,4,3,1,13,8.2,368306
2050,2,3,2,9,5.6,630553
3291,3,1,1,13,6.2,609312
2619,2,1,2,8,8.8,322204
3638,2,2,1,15,8.7,537323
1658,2,1,2,9,8.3,596414
3656,4,2,2,4,6.4,601689
3395,3,3,2,4,6.4,280532
3852,5,3,1,5,9.9,446559
2407,3,1,2,13,9.0,406734
2516,2,1,2,8,9.6,343617
1387,3,2,2,14,6.2,263045
2682,4,1,1,16,7.0,609209
1205,5,3,2,23,6.5,168191
3099,5,3,1,20,9.8,407116
1561,5,1,2,27,7.8,306821
3529,2,3,1,4,7.6,675796
2682,4,3,2,24,9.0,382592
3316,2,3,2,29,6.9,294755
3671,2,3,2,4,8.9,645851
3279,4,1,1,20,8.9,394057
3914,2,1,1,16,7.9,246762
3861,5,1,1,7,5.8,335588
3113,5,2,1,14,6.0,449101
3136,4,3,1,12,6.3,377023
3320,5,1,1,1,9.7,524399
3349,2,3,1,1,6.1,477484
3431,5,3,1,18,9.1,243183
3267,4,1,2,29,5.3,643665
1165,3,1,2,6,6.8,493354
1434,3,1,1,18,7.4,188871
3456,2,1,1,24,6.5,617132
2968,3,2,2,6,5.2,211553
2228,5,1,2,27,6.6,537625
2028,4,2,1,11,7.9,681210
2008,5,2,1,18,8.0,696981
1947,4,3,2,26,7.4,689511
2198,4,2,1,26,9.9,444625
3442,4,3,1,27,9.7,296106
1870,5,2,2,10,9.2,326878
2421,2,1,2,3,7.1,537630
1726,4,3,1,1,9.6,236408
2295,2,3,1,3,6.0,696153
1974,3,1,2,25,8.0,477121
2227,3,3,2,13,8.9,523285
1479,3,2,1,25,6.9,527066
3582,3,3,2,10,6.7,604543
1811,4,3,1,24,7.2,539338
2492,4,3,2,11,8.4,644099
3813,2,2,2,25,5.4,510097
2154,4,2,2,24,6.8,623318
2661,5,1,2,27,9.2,224041
3168,5,2,2,20,10.0,655626
2664,5,2,1,1,8.2,610770
1184,3,1,1,15,5.7,232050
1978,2,3,1,26,6.2,325653
3646,5,2,1,27,8.8,431235
3238,3,3,2,25,8.5,298148
1763,4,1,1,18,7.4,285748
2113,2,2,2,15,9.2,659210
3765,2,3,2,22,7.0,265095
2676,5,1,2,19,5.6,370326
3366,4,2,2,16,5.2,299428
1293,2,2,2,4,6.7,698748
3207,2,2,1,6,8.6,589382
1887,5,2,1,11,8.1,659854
3363,2,1,1,4,10.0,346523
2528,5,2,2,2,9.4,608997
1339,4,3,1,3,6.2,229064
2384,4,2,2,18,7.9,395277
2401,3,2,1,1,8.9,544047
3844,2,3,2,26,8.1,617423
2076,2,2,2,22,6.6,640973
3698,2,1,1,25,5.8,645235
2297,3,2,2,5,8.3,588941
1640,3,1,1,6,7.8,489169
1038,3,1,1,2,8.7,460044
2506,3,2,2,27,7.5,189889
1193,3,2,1,28,9.1,470879
3262,5,2,2,22,7.2,464367
2146,2,1,2,10,6.1,538507
3737,3,3,2,2,7.6,684447
2558,5,1,1,17,7.9,598499
1231,2,2,2,19,5.4,174834
2534,3,2,1,24,6.3,389907
2345,3,3,2,18,7.9,226809
2365,4,1,1,17,6.9,331911
2858,4,2,1,27,8.1,164960
2568,2,1,2,6,7.1,328255
3482,5,3,1,15,7.1,372425
2350,2,3,1,1,5.1,362353
3662,5,1,1,14,9.5,253771
3979,4,1,2,27,8.1,193996
3037,2,3,2,28,7.3,371527
1484,2,1,1,22,7.3,635826
3199,5,1,1,11,9.0,598594
3170,3,1,1,11,7.1,442003
3130,4,3,2,26,8.7,644470
2126,3,2,2,2,9.2,689626
1089,3,2,1,8,8.6,197331
1750,4,1,1,28,7.9,399187
3127,4,3,1,7,6.3,202766
1155,5,1,2,16,9.0,439694
2537,3,2,2,28,7.8,348996
3313,2,2,1,6,6.9,396770
1115,2,1,1,1,5.4,523878
2873,4,1,1,26,5.1,186307
1395,3,1,1,29,9.2,240390
2088,4,2,2,24,5.9,195500
3295,4,3,1,3,7.2,276413
2859,2,2,1,3,7.5,392047
1054,3,3,1,16,8.5,676804
2316,3,3,1,28,7.3,376960
3516,5,1,2,7,8.2,445038
1019,5,3,1,2,5.7,619350
2007,3,2,1,10,7.8,484459
1724,2,2,2,10,6.3,494246
3685,5,1,2,1,9.6,534254
2193,3,3,1,28,8.9,696564
1208,4,2,2,22,8.6,648895
3704,2,2,1,14,5.3,592183
3233,5,1,1,22,8.3,620077
3144,4,1,1,18,7.1,618150
3326,5,3,1,27,5.1,279844
2155,4,3,2,1,8.5,614083
2416,3,1,2,3,8.3,478852
1830,2,1,2,13,5.9,249196
2884,4,3,2,29,9.7,178331
2193,3,3,1,23,6.1,288033
2866,4,1,1,1,8.3,447102
1102,4,1,2,8,8.1,516784
2628,5,2,1,21,5.8,523719
3156,3,1,1,1,8.1,263189
1907,4,2,2,22,9.2,206580
1930,5,1,2,13,9.3,654343
1091,5,1,1,3,8.5,482142
2841,5,1,1,29,9.5,240985
1583,2,1,2,27,7.4,698418
2447,3,2,1,20,5.8,514043
3918,2,3,2,22,6.4,156911
3935,2,3,2,6,5.8,420468
2029,2,3,2,9,6.4,324086
2097,4,2,1,20,8.5,695066
2880,5,1,1,18,9.0,670870
1140,3,3,2,13,7.1,221748
3792,4,1,2,5,6.8,526367
2249,5,1,2,17,6.1,682023
1718,2,2,2,19,7.1,595246
3029,3,2,1,25,9.1,313033
2028,4,2,1,15,8.3,626477
2942,4,3,1,20,8.7,527393
2716,4,1,1,27,7.2,248608
3114,5,3,2,16,7.6,411499
3376,4,1,1,24,7.5,697342
1551,5,3,1,14,8.7,391086
1335,3,1,1,9,9.3,459218
1662,3,1,2,8,9.8,225077
3521,3,1,2,15,6.0,453832
2241,3,3,1,17,9.4,257426
1915,4,3,2,11,5.4,473669
1797,2,3,2,6,9.6,451668
2801,4,3,2,24,7.4,251366
3941,5,3,2,24,8.1,562158
3147,4,2,1,15,6.1,267910
3919,3,3,2,26,5.2,551171
2279,4,2,1,28,6.5,327056
1255,5,1,2,16,7.7,583833
2665,5,2,1,2,7.9,571985
3674,4,3,1,23,7.1,616323
3289,4,1,2,29,6.1,335451
2335,5,3,2,10,7.9,520074
2546,5,1,2,17,5.6,185910
2304,3,2,2,15,8.6,527943
3559,5,3,2,28,9.5,391871
2375,3,1,2,29,5.4,179236
2067,4,3,1,24,7.9,344629
1987,5,1,2,13,6.7,288106
2677,2,1,2,3,7.4,573309
1974,5,2,1,17,8.4,548184
1055,3,3,2,10,9.3,194964
3053,3,2,1,9,9.8,282396
1407,2,1,1,8,5.1,245141
3090,5,1,1,2,7.8,490901
2639,5,1,1,16,6.4,291752
2381,5,3,1,10,8.3,246561
1870,2,1,2,27,8.0,500377
2611,4,2,2,12,5.5,297225
2909,5,2,1,12,5.5,471692
1152,4,3,1,25,6.0,583618
2557,3,1,1,18,6.4,314154
3014,2,1,1,13,5.2,491201
1063,5,1,1,5,7.6,685733
2369,4,2,2,8,5.5,408317
2565,5,3,2,19,8.9,475890
3993,2,2,1,6,9.2,214349
2192,2,1,1,20,8.7,484827
1497,5,3,1,28,7.8,692670
3410,3,2,1,10,5.8,480899
1103,5,1,1,23,9.3,285973
1312,5,3,2,26,8.0,357204
3190,5,2,2,15,8.7,201218
2312,4,1,1,7,7.0,477136
3241,3,3,2,27,8.5,613169
2145,2,2,2,14,6.9,228353
1373,3,1,2,10,7.9,386345
1833,5,3,2,25,6.8,693977
3084,5,1,1,12,5.2,468570
2786,5,1,2,17,9.0,422427
3073,5,3,1,16,6.9,645693
3120,3,1,1,22,7.3,359514
3098,2,3,1,12,5.7,390047
3572,5,3,1,14,8.0,613535
